engine,threads,warehouses,repetitions,median_txn_per_sec,min_txn_per_sec,max_txn_per_sec,median_abort_percent,median_rust_percent_of_cpp
cpp,1,1,3,40592.125197,40522.476401,40685.058559,0.000000,142.168874
rust,1,1,3,57809.828472,57709.367304,57906.590184,0.000000,142.168874
cpp,2,2,1,81896.839347,81896.839347,81896.839347,0.016559,136.084205
rust,2,2,1,111448.663124,111448.663124,111448.663124,0.011110,136.084205
cpp,4,4,1,166515.084832,166515.084832,166515.084832,0.016568,130.891882
rust,4,4,1,217954.728549,217954.728549,217954.728549,0.010406,130.891882
cpp,8,8,1,328606.139153,328606.139153,328606.139153,0.017452,126.678931
rust,8,8,1,416274.745068,416274.745068,416274.745068,0.010283,126.678931
cpp,16,16,3,653218.382192,650147.108717,653921.158078,0.016284,128.216194
rust,16,16,3,838432.818174,803519.828106,840474.715040,0.009758,128.216194
