threads,variant,engine,repetition,run_order,started_at_utc,throughput_txn_s,setup_seconds,measurement_guard_seconds,post_measurement_seconds,wall_seconds_including_load,waiting_policy
16,new,cpp,0,1,2026-09-09T08:44:38.792799+00:00,650147.1087171611,20.707183,11.133348,1.101918274938555,32.942449274938554,same-restart-quiet-v2
16,new,rust,0,2,2026-09-09T08:45:45.219422+00:00,803519.8281059139,22.337427,11.138382,99.12876482304594,132.60457382304594,same-restart-quiet-v2
16,old,rust,0,3,2026-09-09T08:48:57.300312+00:00,831100.7776550318,22.197621,11.10399,101.47211852317818,134.7737295231782,same-restart-quiet-v2
16,old,cpp,0,4,2026-09-09T08:52:06.791886+00:00,660900.1193575532,20.637554,11.134301,1.0582863259468986,32.8301413259469,same-restart-quiet-v2
1,old,cpp,0,5,2026-09-09T08:53:10.843870+00:00,41383.31324250163,2.427062,11.087539,0.18385731999555155,13.698458319995552,same-restart-quiet-v2
1,old,rust,0,6,2026-09-09T08:54:14.798910+00:00,58121.335260912776,3.063487,11.093508,0.6235243979293106,14.78051939792931,same-restart-quiet-v2
1,new,rust,0,7,2026-09-09T08:55:18.715125+00:00,57809.82847194234,3.154941,11.086126,0.618128061959327,14.859195061959326,same-restart-quiet-v2
1,new,cpp,0,8,2026-09-09T08:56:22.771388+00:00,40685.05855873524,2.42128,11.096206,0.14648645321422826,13.663972453214228,same-restart-quiet-v2
1,new,cpp,1,9,2026-09-09T08:57:26.866017+00:00,40592.12519684828,2.4147,11.09599,0.15252308212354748,13.663213082123548,same-restart-quiet-v2
1,new,rust,1,10,2026-09-09T08:58:30.788381+00:00,57709.367304230625,3.152868,11.087949,0.6141157761866154,14.854932776186615,same-restart-quiet-v2
1,old,rust,1,11,2026-09-09T08:59:34.785455+00:00,58202.46115302674,3.076685,11.092118,0.5994629197598691,14.76826591975987,same-restart-quiet-v2
1,old,cpp,1,12,2026-09-09T09:00:38.763251+00:00,40812.72356114672,2.433836,11.093735,0.1354398240060508,13.66301082400605,same-restart-quiet-v2
16,old,cpp,1,13,2026-09-09T09:01:45.311602+00:00,657519.1605769169,20.629726,11.130988,1.0494925930142998,32.8102065930143,same-restart-quiet-v2
16,old,rust,1,14,2026-09-09T09:02:46.788364+00:00,842308.2804321821,22.263483,11.110402,103.16602828598931,136.53991328598931,same-restart-quiet-v2
16,new,rust,1,15,2026-09-09T09:06:01.233920+00:00,840474.7150398986,22.535928,11.139091,101.57593766106791,135.2509566610679,same-restart-quiet-v2
16,new,cpp,1,16,2026-09-09T09:09:13.151613+00:00,653218.382191715,20.643238,11.129199,1.0397739440155327,32.81221094401553,same-restart-quiet-v2
1,old,cpp,2,17,2026-09-09T09:10:14.801217+00:00,40790.15501839383,2.429729,11.09824,0.13613140529444756,13.664100405294448,same-restart-quiet-v2
1,old,rust,2,18,2026-09-09T09:11:18.727798+00:00,58122.06058976747,3.13305,11.087928,0.5904871306532318,14.811465130653232,same-restart-quiet-v2
1,new,rust,2,19,2026-09-09T09:12:22.679665+00:00,57906.59018430029,3.126504,11.086005,0.5946353089283996,14.8071443089284,same-restart-quiet-v2
1,new,cpp,2,20,2026-09-09T09:13:26.708240+00:00,40522.476400859035,2.426679,11.093184,0.1423881269524685,13.66225112695247,same-restart-quiet-v2
16,new,cpp,2,21,2026-09-09T09:14:30.816250+00:00,653921.1580777693,20.676599,11.146646,1.0678870311017334,32.89113203110173,same-restart-quiet-v2
16,new,rust,2,22,2026-09-09T09:15:37.433368+00:00,838432.8181739568,22.348802,11.107062,102.87735769212625,136.33322169212624,same-restart-quiet-v2
16,old,rust,2,23,2026-09-09T09:18:46.850466+00:00,846849.9056884594,22.205399,11.128712,103.35800480976843,136.69211580976844,same-restart-quiet-v2
16,old,cpp,2,24,2026-09-09T09:21:58.789789+00:00,660802.6734981873,20.651068,11.159615,1.0765804409926822,32.88726344099268,same-restart-quiet-v2
4,new,rust,0,25,2026-09-09T09:23:02.885304+00:00,217954.7285485002,7.25364,11.095434,7.000763516434489,25.34983751643449,same-restart-quiet-v2
4,new,cpp,0,26,2026-09-09T09:24:06.879678+00:00,166515.0848320913,6.68616,11.111168,0.345747914122164,18.143075914122164,same-restart-quiet-v2
8,new,cpp,0,27,2026-09-09T09:25:10.730587+00:00,328606.1391527064,10.385492,11.129498,0.5585716288147857,22.073561628814787,same-restart-quiet-v2
8,new,rust,0,28,2026-09-09T09:26:14.887563+00:00,416274.7450676345,11.177914,11.091325,25.553412874739678,47.82265187473968,same-restart-quiet-v2
2,new,rust,0,29,2026-09-09T09:27:18.903232+00:00,111448.66312364185,3.939473,11.094599,1.9827987859702407,17.01687078597024,same-restart-quiet-v2
2,new,cpp,0,30,2026-09-09T09:28:22.751119+00:00,81896.83934691625,3.571737,11.100655,0.25970944992917744,14.932101449929178,same-restart-quiet-v2
