engine,scenario,threads,repetitions,median_txn_per_sec,median_ops_per_sec,min_ops_per_sec,max_ops_per_sec,median_abort_percent
cpp-sto-masstree,read10,1,3,608016.893,6080168.925,6071551.286,6098714.683,0.000000
rust-sto-masstree,read10,1,3,86290.986,862909.857,862109.902,870799.549,0.000000
cpp-sto-masstree,read10,2,3,1206271.066,12062710.659,12037868.789,12105527.416,0.000000
rust-sto-masstree,read10,2,3,157286.479,1572864.790,1563825.133,1590708.765,0.000000
cpp-sto-masstree,read10,4,3,2410626.612,24106266.123,23991778.689,24132508.357,0.000000
rust-sto-masstree,read10,4,3,260936.033,2609360.331,2561432.828,2626034.522,0.000000
cpp-sto-masstree,read10,8,3,4673145.322,46731453.223,46440498.339,46822649.495,0.000000
rust-sto-masstree,read10,8,3,157516.745,1575167.447,1574691.720,1587199.624,0.000000
cpp-sto-masstree,read10,16,3,9152324.104,91523241.038,91472266.631,91659755.254,0.000000
rust-sto-masstree,read10,16,3,119005.399,1190053.987,1188861.256,1195173.261,0.000000
cpp-sto-masstree,read10,32,3,17246064.931,172460649.311,164866553.018,173009216.630,0.000000
rust-sto-masstree,read10,32,3,102979.073,1029790.734,1027702.655,1039022.390,0.000000
cpp-sto-masstree,read10,64,3,22036009.818,220360098.180,217457238.222,226521113.707,0.000000
rust-sto-masstree,read10,64,3,92544.442,925444.422,924568.066,939968.008,0.000000
cpp-sto-masstree,rw50_10,1,3,396729.579,3967295.787,3958889.794,3986989.333,0.000000
rust-sto-masstree,rw50_10,1,3,54617.019,546170.186,512459.733,552738.328,0.000000
cpp-sto-masstree,rw50_10,2,3,789994.254,7899942.539,7866389.967,7915180.473,0.025824
rust-sto-masstree,rw50_10,2,3,97235.184,972351.838,965602.118,978415.335,0.027792
cpp-sto-masstree,rw50_10,4,3,1576062.563,15760625.626,15716307.359,15860135.004,0.081135
rust-sto-masstree,rw50_10,4,3,163062.863,1630628.634,1605749.414,1633893.250,26.457522
cpp-sto-masstree,rw50_10,8,3,2672124.956,26721249.562,26687576.631,26845526.995,13.213239
rust-sto-masstree,rw50_10,8,3,124175.871,1241758.707,1223382.262,1248037.946,7.607339
cpp-sto-masstree,rw50_10,16,3,4875679.522,48756795.218,48515838.693,48970214.939,17.834090
rust-sto-masstree,rw50_10,16,3,92925.671,929256.707,925050.138,931970.053,1.618873
cpp-sto-masstree,rw50_10,32,3,8039612.407,80396124.067,78490341.918,80665656.722,31.450390
rust-sto-masstree,rw50_10,32,3,76011.934,760119.336,746336.335,767881.526,2.144709
cpp-sto-masstree,rw50_10,64,3,9852710.026,98527100.257,98323572.123,99863399.514,65.460166
rust-sto-masstree,rw50_10,64,3,59259.800,592597.997,591246.503,611672.082,5.869814
cpp-sto-masstree,rw95_10,1,3,566216.967,5662169.673,5652399.425,5678855.292,0.000000
rust-sto-masstree,rw95_10,1,3,76520.122,765201.215,753503.571,773813.265,0.000000
cpp-sto-masstree,rw95_10,2,3,1130290.098,11302900.981,11268643.571,11313564.342,0.002849
rust-sto-masstree,rw95_10,2,3,137762.385,1377623.850,1361964.100,1388623.399,0.001872
cpp-sto-masstree,rw95_10,4,3,2249497.243,22494972.426,22472458.151,22536051.966,0.009023
rust-sto-masstree,rw95_10,4,3,224082.522,2240825.218,2239090.692,2268717.010,10.254704
cpp-sto-masstree,rw95_10,8,3,4189940.012,41899400.123,41845876.736,41903582.132,3.394121
rust-sto-masstree,rw95_10,8,3,151743.086,1517430.857,1491516.977,1528496.439,3.099637
cpp-sto-masstree,rw95_10,16,3,7750012.730,77500127.305,76653560.793,78217502.016,4.630315
rust-sto-masstree,rw95_10,16,3,119054.529,1190545.291,1179249.415,1191578.918,0.973648
cpp-sto-masstree,rw95_10,32,3,12062914.041,120629140.413,119885519.742,120699712.048,19.156180
rust-sto-masstree,rw95_10,32,3,102407.532,1024075.321,1019906.760,1028455.012,0.768038
cpp-sto-masstree,rw95_10,64,3,14323065.376,143230653.758,140236000.797,143279526.640,59.930107
rust-sto-masstree,rw95_10,64,3,88594.586,885945.862,878729.826,887179.766,1.895952
