lane,scenario,repetition,cpp_ops_per_sec,rust_ops_per_sec,rust_cpp_percent,cpp_abort_percent,rust_abort_percent
fixed-u64,read10,0,6036922.431554,6011221.565572,99.574272,0.000000,0.000000
fixed-u64,read10,1,6040799.732237,6004438.319794,99.398070,0.000000,0.000000
fixed-u64,read10,2,6053375.272437,5976907.688423,98.736778,0.000000,0.000000
fixed-u64,read10,3,6051000.623416,5986633.266277,98.936253,0.000000,0.000000
fixed-u64,read10,4,6059434.299676,5983772.747568,98.751343,0.000000,0.000000
fixed-u64,read10,5,6048899.127673,6006372.941746,99.296960,0.000000,0.000000
fixed-u64,read10,6,6045770.198646,5990553.853754,99.086695,0.000000,0.000000
fixed-u64,w5,0,5701514.978430,5396727.129609,94.654266,0.000000,0.000000
fixed-u64,w5,1,5677790.312853,5393101.186058,94.985917,0.000000,0.000000
fixed-u64,w5,2,5677676.511305,5388983.432146,94.915295,0.000000,0.000000
fixed-u64,w5,3,5711304.147923,5368339.834114,93.994991,0.000000,0.000000
fixed-u64,w5,4,5705663.843525,5388157.488202,94.435243,0.000000,0.000000
fixed-u64,w5,5,5698834.563560,5378134.616600,94.372535,0.000000,0.000000
fixed-u64,w5,6,5655041.797378,5385163.806141,95.227657,0.000000,0.000000
fixed-u64,w50,0,3978823.687047,3849661.693618,96.753764,0.000000,0.000000
fixed-u64,w50,1,3969288.212936,3852492.467304,97.057514,0.000000,0.000000
fixed-u64,w50,2,3985056.637094,3844877.181954,96.482372,0.000000,0.000000
fixed-u64,w50,3,3949183.301300,3848697.761810,97.455536,0.000000,0.000000
fixed-u64,w50,4,3990041.415491,3848527.270100,96.453316,0.000000,0.000000
fixed-u64,w50,5,3961648.081461,3842357.794375,96.988872,0.000000,0.000000
fixed-u64,w50,6,3961229.562900,3844566.433288,97.054876,0.000000,0.000000
general,read10,0,6052594.667881,5359310.488636,88.545670,0.000000,0.000000
general,read10,1,6015548.797481,5321173.135621,88.456986,0.000000,0.000000
general,read10,2,5970963.707979,5299435.646005,88.753439,0.000000,0.000000
general,read10,3,6054825.458832,5333445.578189,88.085868,0.000000,0.000000
general,read10,4,6065646.772320,5353928.486501,88.266407,0.000000,0.000000
general,read10,5,6044251.450004,5327486.166173,88.141372,0.000000,0.000000
general,read10,6,6043391.371251,5338857.877253,88.342084,0.000000,0.000000
general,w5,0,5694129.462561,4918738.276394,86.382621,0.000000,0.000000
general,w5,1,5673725.616537,4897103.711212,86.311959,0.000000,0.000000
general,w5,2,5684946.247966,4919849.762142,86.541711,0.000000,0.000000
general,w5,3,5665763.063993,4910790.597387,86.674832,0.000000,0.000000
general,w5,4,5670293.521381,4914505.388731,86.671093,0.000000,0.000000
general,w5,5,5704914.737535,4887669.445290,85.674715,0.000000,0.000000
general,w5,6,5671396.243441,4913633.830922,86.638874,0.000000,0.000000
general,w50,0,3972144.176248,3617872.708267,91.081102,0.000000,0.000000
general,w50,1,3974031.468441,3625397.053225,91.227185,0.000000,0.000000
general,w50,2,3949234.085761,3619729.702063,91.656499,0.000000,0.000000
general,w50,3,3981042.167312,3616411.019142,90.840812,0.000000,0.000000
general,w50,4,3956164.290698,3615987.419861,91.401346,0.000000,0.000000
general,w50,5,3983310.774580,3622861.036573,90.951001,0.000000,0.000000
general,w50,6,3959878.137402,3626673.094113,91.585472,0.000000,0.000000
