Linux 6.8.0-137-generic (zoo-002) 	08/28/26 	_x86_64_	(128 CPU)

12:55:33     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:55:34     all    0.21    0.00    0.59    0.14    0.00    0.00    0.00    0.00    0.00   99.06
12:55:35     all    0.05    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   99.86
12:55:36     all    0.60    0.00    0.28    0.05    0.00    0.00    0.00    0.00    0.00   99.07
12:55:37     all    0.32    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.53
12:55:38     all    0.04    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.91
12:55:39     all    0.02    0.00    0.07    0.01    0.00    0.00    0.00    0.00    0.00   99.91
12:55:40     all    0.04    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   99.88
12:55:41     all    0.26    0.00    0.50    0.01    0.00    0.00    0.00    0.00    0.00   99.23
12:55:42     all    0.05    0.00    0.20    0.02    0.00    0.00    0.00    0.00    0.00   99.72
12:55:43     all    0.02    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   99.91
Average:     all    0.16    0.00    0.21    0.02    0.00    0.00    0.00    0.00    0.00   99.61
