Linux 6.8.0-137-generic (zoo-002) 	08/28/26 	_x86_64_	(128 CPU)

12:56:28     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:56:29     all    0.17    0.00    0.37    0.00    0.00    0.00    0.00    0.00    0.00   99.46
12:56:30     all    0.04    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   99.89
12:56:31     all    0.02    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   99.87
12:56:32     all    0.02    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   99.90
12:56:33     all    0.05    0.00    0.09    0.23    0.00    0.00    0.00    0.00    0.00   99.62
12:56:34     all    0.05    0.00    0.04    0.00    0.00    0.00    0.00    0.00    0.00   99.91
12:56:35     all    0.02    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.91
12:56:36     all    0.30    0.00    0.47    0.01    0.00    0.00    0.00    0.00    0.00   99.22
12:56:37     all    0.09    0.00    0.36    0.08    0.00    0.01    0.00    0.00    0.00   99.46
12:56:38     all    0.88    0.00    0.81    0.05    0.00    0.01    0.00    0.00    0.00   98.25
Average:     all    0.17    0.00    0.25    0.04    0.00    0.00    0.00    0.00    0.00   99.55
