Linux 6.8.0-137-generic (zoo-002) 	08/28/26 	_x86_64_	(128 CPU)

12:57:44      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:57:49        0        17    0.00    0.20    0.00    0.00    0.20    72  rcu_preempt
12:57:49        0       527    0.00    0.20    0.00    0.00    0.20    85  migration/85
12:57:49      103      3427    0.20    0.00    0.00    0.00    0.20   105  dbus-daemon
12:57:49        0      3645    0.20    0.39    0.00    0.00    0.59    83  NetworkManager
12:57:49      141      3920    0.20    0.00    0.00    0.00    0.20    79  redis-server
12:57:49        0      3925    0.00    0.20    0.00    0.00    0.20    52  containerd
12:57:49        0      3992    0.20    0.39    0.00    0.00    0.59    92  janus
12:57:49      148      4266    0.20    0.39    0.00    0.00    0.59   121  mysqld
12:57:49     1017    833731    0.00    0.20    0.00    0.00    0.20   104  MainThread
12:57:49     1017    833754    0.00    0.20    0.00    0.00    0.20    25  MainThread
12:57:49     1017    834532    0.59    0.20    0.00    0.00    0.78    65  codex
12:57:49     1017    835641    0.98    0.39    0.00    0.00    1.37    73  claude
12:57:49     1017    845703    2.55    3.33    0.00    0.00    5.88    94  MainThread
12:57:49        0   1053563    0.00    0.20    0.00    0.00    0.20    51  kworker/u269:4-flush-8:0
12:57:49        0   1270563    0.00    0.20    0.00    0.00    0.20    73  kworker/73:1-mm_percpu_wq
12:57:49        0   1299277    0.00    0.20    0.00    0.00    0.20    78  kworker/78:2-mm_percpu_wq
12:57:49        0   1344938    0.00    0.20    0.00    0.00    0.20    17  kworker/u256:0-ext4-rsv-conversion
12:57:49        0   1385516    0.20    0.00    0.00    0.00    0.20     7  lxd
12:57:49        0   1385678    0.39    0.98    0.00    0.00    1.37    22  pidstat
12:57:49        0   1385681 1572.35    0.59    0.00    0.00 1572.94     2  sto_masstree_cp
12:57:49     1017   3704361    0.00    0.20    0.00    0.00    0.20    31  claude

12:57:49      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:57:54        0         1    0.00    0.20    0.00    0.00    0.20    40  systemd
12:57:54        0      3448    0.00    0.60    0.00    0.00    0.60   112  irqbalance
12:57:54        0      3528    0.00    0.20    0.00    0.00    0.20   107  systemd-machine
12:57:54        0      3645    0.00    0.20    0.00    0.00    0.20    83  NetworkManager
12:57:54        0      3992    0.40    0.00    0.00    0.00    0.40    92  janus
12:57:54      148      4266    0.20    0.20    0.00    0.00    0.40   121  mysqld
12:57:54     1017    346870    0.20    0.00    0.00    0.00    0.20    45  code-1b6a188127
12:57:54     1017    833263    0.20    0.20    0.00    0.00    0.40    56  code-110a328ea5
12:57:54     1017    833731    3.20    3.20    0.00    0.00    6.40    89  MainThread
12:57:54     1017    835641    0.80    0.40    0.00    0.00    1.20    73  claude
12:57:54     1017    845703    0.80    1.80    0.00    0.00    2.60    40  MainThread
12:57:54        0   1053563    0.00    0.20    0.00    0.00    0.20    51  kworker/u269:4-flush-8:0
12:57:54        0   1298809    0.00    0.20    0.00    0.00    0.20     7  kworker/7:0-events
12:57:54        0   1330211    0.00    0.20    0.00    0.00    0.20    77  kworker/u260:1-xprtiod
12:57:54        0   1359682    0.20    0.00    0.00    0.00    0.20    74  kworker/74:1-events
12:57:54        0   1370968    0.00    0.20    0.00    0.00    0.20    28  kworker/u264:3-events_unbound
12:57:54        0   1385678    0.20    1.20    0.00    0.00    1.40    22  pidstat
12:57:54        0   1385728 1213.60    0.80    0.00    0.00 1214.40    11  sto_masstree_co
12:57:54     3000   1750827    0.20    1.60    0.00    0.00    1.80    98  apas
12:57:54     1017   2134972    0.00    0.40    0.00    0.00    0.40    78  apas
12:57:54      146   2920998    0.20    0.00    0.00    0.00    0.20    31  systemd-oomd
12:57:54      101   2921241    0.20    0.00    0.00    0.00    0.20    91  systemd-resolve
12:57:54     1017   3704154    0.20    0.00    0.00    0.00    0.20    70  apas
