procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 366838236 1628548 135317340    0    0     2    89 8401    1  1  0 99  0  0  0
16  1      0 366792380 1628548 135317400    0    0     0    87 19452 5093 12  0 88  0  0  0
17  0      0 366811140 1628548 135317440    0    0     0    31 19009 5384 12  0 88  0  0  0
 1  0      0 366820664 1628548 135317444    0    0     0    12 10746 4793  6  0 94  0  0  0
 1  0      0 366829144 1628548 135317444    0    0     0    10 4412 7579  1  0 99  0  0  0
 1  0      0 366836980 1628552 135317444    0    0     0    89 2611 2080  1  0 99  0  0  0
 2  0      0 366828152 1628552 135318016    0    0     0    14 4312 7488  1  0 99  0  0  0
 1  0      0 366825680 1628552 135318016    0    0     0     6 2537 2102  1  0 99  0  0  0
 2  0      0 366810828 1628560 135318052    0    0     0     8 5562 7423  1  0 98  0  0  0
 2  0      0 366829704 1628568 135318060    0    0     0   145 4653 2191  2  0 98  0  0  0
 5  0      0 366820484 1628568 135318092    0    0     0    27 6688 7366  2  0 98  0  0  0
 4  0      0 366822908 1628572 135318096    0    0     0    11 6438 1989  3  0 97  0  0  0
 5  0      0 366909968 1628576 135318108    0    0     0   120 10393 9092  3  0 96  0  0  0
 1  0      0 366791448 1628576 135318144    0    0     0   190 5717 3622  1  0 98  0  0  0
 1  0      0 366802180 1628576 135318164    0    0     0    20 4299 7455  1  0 99  0  0  0
 9  0      0 366803736 1628576 135318168    0    0     0    26 5354 2041  3  0 97  0  0  0
 8  0      0 366810740 1628576 135318224    0    0     0    18 12291 7670  6  0 94  0  0  0
 8  0      0 366814260 1628584 135318236    0    0     0    72 11396 4762  6  0 94  0  0  0
 2  0      0 366823872 1628588 135318760    0    0     0    10 5942 4969  2  0 98  0  0  0
 2  0      0 366829888 1628588 135318764    0    0     0     3 5326 4625  2  0 98  0  0  0
 4  0      0 366830784 1628588 135318796    0    0     0    13 6444 4680  2  0 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
