engine,scenario,threads,repetitions,median_txn_per_sec,median_ops_per_sec,min_ops_per_sec,max_ops_per_sec,median_abort_percent
cpp-sto-masstree,read10,1,3,604610.541,6046105.409,6036784.052,6054240.522,0.000000
rust-sto-masstree,read10,1,3,482776.721,4827767.209,4825113.051,4828885.702,0.000000
cpp-sto-masstree,read10,2,3,1201997.330,12019973.299,12004078.631,12059472.129,0.000000
rust-sto-masstree,read10,2,3,965084.653,9650846.525,9644672.935,9671116.076,0.000000
cpp-sto-masstree,read10,4,3,2399338.050,23993380.503,23872961.353,24026576.658,0.000000
rust-sto-masstree,read10,4,3,1924502.985,19245029.855,19195937.756,19253832.344,0.000000
cpp-sto-masstree,read10,8,3,4634903.484,46349034.843,46203636.801,46391421.692,0.000000
rust-sto-masstree,read10,8,3,3857465.373,38574653.732,38533853.340,38664993.203,0.000000
cpp-sto-masstree,read10,16,3,9076145.771,90761457.707,90581466.142,91109666.649,0.000000
rust-sto-masstree,read10,16,3,7642329.501,76423295.009,75447868.040,76661421.235,0.000000
cpp-sto-masstree,read10,32,3,17018027.314,170180273.142,169744927.592,170308409.178,0.000000
rust-sto-masstree,read10,32,3,14836035.252,148360352.515,148261311.026,148544908.956,0.000000
cpp-sto-masstree,read10,64,3,22213339.930,222133399.297,214937094.547,227602212.613,0.000000
rust-sto-masstree,read10,64,3,24586276.891,245862768.914,245570633.519,247300008.269,0.000000
cpp-sto-masstree,rw50_10,1,3,394982.074,3949820.741,3943411.661,3975261.800,0.000000
rust-sto-masstree,rw50_10,1,3,310369.146,3103691.461,3098380.290,3105435.224,0.000000
cpp-sto-masstree,rw50_10,2,3,788004.200,7880041.997,7872848.369,7887233.320,0.026593
rust-sto-masstree,rw50_10,2,3,615837.109,6158371.095,6148583.466,6164205.900,0.017952
cpp-sto-masstree,rw50_10,4,3,1577552.899,15775528.992,15653652.174,15777068.778,0.077493
rust-sto-masstree,rw50_10,4,3,1226181.399,12261813.991,12257827.935,12291007.987,0.055818
cpp-sto-masstree,rw50_10,8,3,2676695.998,26766959.976,26658997.016,26773091.646,0.267883
rust-sto-masstree,rw50_10,8,3,2001256.872,20012568.722,20003156.894,20041183.305,0.185344
cpp-sto-masstree,rw50_10,16,3,4860438.657,48604386.570,48425448.304,48776895.184,0.459359
rust-sto-masstree,rw50_10,16,3,3904027.869,39040278.691,38939919.087,39042453.052,0.405847
cpp-sto-masstree,rw50_10,32,3,8349051.287,83490512.872,83045787.664,83536569.959,1.389565
rust-sto-masstree,rw50_10,32,3,7203318.454,72033184.539,71515760.233,72255119.811,0.852935
cpp-sto-masstree,rw50_10,64,3,10610570.766,106105707.663,106080129.484,106133356.510,12.410652
rust-sto-masstree,rw50_10,64,3,11272222.389,112722223.886,112563157.069,112842662.832,2.273045
cpp-sto-masstree,rw95_10,1,3,566594.637,5665946.368,5645326.422,5675039.406,0.000000
rust-sto-masstree,rw95_10,1,3,442082.334,4420823.338,4405834.933,4424057.135,0.000000
cpp-sto-masstree,rw95_10,2,3,1127191.991,11271919.911,11260347.732,11288274.012,0.002480
rust-sto-masstree,rw95_10,2,3,880431.283,8804312.834,8783739.726,8825531.546,0.000931
cpp-sto-masstree,rw95_10,4,3,2246587.241,22465872.413,22310309.011,22578339.314,0.007664
rust-sto-masstree,rw95_10,4,3,1754966.339,17549663.389,17517820.470,17566968.834,0.003225
cpp-sto-masstree,rw95_10,8,3,4181655.955,41816559.553,41776392.418,41861758.220,0.020992
rust-sto-masstree,rw95_10,8,3,3276877.284,32768772.841,32673043.678,32789084.825,0.011727
cpp-sto-masstree,rw95_10,16,3,7739411.429,77394114.295,77320752.208,77503877.531,0.050948
rust-sto-masstree,rw95_10,16,3,6641122.962,66411229.623,66385080.103,66462569.543,0.023959
cpp-sto-masstree,rw95_10,32,3,12125934.261,121259342.610,121124425.338,121269322.643,0.274918
rust-sto-masstree,rw95_10,32,3,12692427.585,126924275.849,126327536.988,126987521.039,0.062203
cpp-sto-masstree,rw95_10,64,3,14370196.887,143701968.865,143514661.113,143904626.451,3.168856
rust-sto-masstree,rw95_10,64,3,20260133.719,202601337.185,202450778.500,202605381.846,0.165470
